"Tabela 1.3.20.1 - Pessoas de 10 anos ou mais de idade, por sexo e posse de telefone móvel celular para uso pessoal, segundo as Grandes Regiões, as Unidades da Federação e as Regiões Metropolitanas - 2015",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,"Tabela 1.3.20.2 - Distribuição das pessoas de 10 anos ou mais de idade, por sexo e posse de telefone móvel celular para uso pessoal, segundo as Grandes Regiões, as Unidades da Federação e as Regiões Metropolitanas - 2015",Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
,,,,,,,,,,,,,,,,,,,
"Grandes Regiões, Unidades da Federação e Regiões Metropolitanas",Pessoas de 10 anos ou mais de idade (1000 pessoas),,,,,,,,,"Grandes Regiões, Unidades da Federação e Regiões Metropolitanas",Distribuição das pessoas de 10 anos ou mais de idade (%),,,,,,,,
,Total,Posse de telefone móvel celular para uso pessoal,,Homens,,,Mulheres,,,,Total,Posse de telefone móvel celular para uso pessoal,,Homens,,,Mulheres,,
,,,,Total,Posse de telefone móvel celular para uso pessoal,,Total,Posse de telefone móvel celular para uso pessoal,,,,,,Total,Posse de telefone móvel celular para uso pessoal,,Total,Posse de telefone móvel celular para uso pessoal,
,,Possuíam,Não possuíam,,Possuíam,Não possuíam,,Possuíam,Não possuíam,,,Possuíam,Não possuíam,,Possuíam,Não possuíam,,Possuíam,Não possuíam
Rio de Janeiro,14646.539,12166.843,2479.696,6836.305,5756.487,1079.818,7810.234,6410.356,1399.878,Rio de Janeiro,100,83.1,16.9,100,84.2,15.8,100,82.1,17.9
Região Metropolitana do Rio de Janeiro,10770.231,9073.957,1696.274,4997.828,4302.161,695.667,5772.403,4771.796,1000.607,Região Metropolitana do Rio de Janeiro,100,84.3,15.7,100,86.1,13.9,100,82.7,17.3
São Paulo,39144.484,32833.708,6310.776,18582.982,15668.795,2914.187,20561.502,17164.913,3396.589,São Paulo,100,83.9,16.1,100,84.3,15.7,100,83.5,16.5
Região Metropolitana de São Paulo,18604.133,15823.502,2780.631,8685.921,7421.43,1264.491,9918.212,8402.072,1516.14,Região Metropolitana de São Paulo,100,85.1,14.9,100,85.4,14.6,100,84.7,15.3
Sul,25771.8,21350.453,4421.347,12501.919,10435.953,2065.966,13269.881,10914.5,2355.381,Sul,100,82.8,17.2,100,83.5,16.5,100,82.3,17.7
Paraná,9745.617,7947.032,1798.585,4731.652,3898.513,833.139,5013.965,4048.519,965.446,Paraná,100,81.5,18.5,100,82.4,17.6,100,80.7,19.3
Região Metropolitana de Curitiba,3030.41,2554.45,475.96,1469.1,1257.308,211.792,1561.31,1297.142,264.168,Região Metropolitana de Curitiba,100,84.3,15.7,100,85.6,14.4,100,83.1,16.9
Santa Catarina,6048.506,4902.014,1146.492,2985.178,2456.351,528.827,3063.328,2445.663,617.665,Santa Catarina,100,81,19,100,82.3,17.7,100,79.8,20.2
Rio Grande do Sul,9977.677,8501.407,1476.27,4785.089,4081.089,704,5192.588,4420.318,772.27,Rio Grande do Sul,100,85.2,14.8,100,85.3,14.7,100,85.1,14.9
Região Metropolitana de Porto Alegre,3722.776,3311.087,411.689,1740.905,1550.489,190.416,1981.871,1760.598,221.273,Região Metropolitana de Porto Alegre,100,88.9,11.1,100,89.1,10.9,100,88.8,11.2
Centro-Oeste,13339.641,11589.658,1749.983,6487.257,5625.194,862.063,6852.384,5964.464,887.92,Centro-Oeste,100,86.9,13.1,100,86.7,13.3,100,87,13
Mato Grosso do Sul,2283.967,1980.415,303.552,1124.084,974.294,149.79,1159.883,1006.121,153.762,Mato Grosso do Sul,100,86.7,13.3,100,86.7,13.3,100,86.7,13.3
Mato Grosso,2766.131,2304.152,461.979,1388.108,1145.078,243.03,1378.023,1159.074,218.949,Mato Grosso,100,83.3,16.7,100,82.5,17.5,100,84.1,15.9
Goiás,5730.676,4983.775,746.901,2776.925,2417.043,359.882,2953.751,2566.732,387.019,Goiás,100,87,13,100,87,13,100,86.9,13.1
Distrito Federal,2558.867,2321.316,237.551,1198.14,1088.779,109.361,1360.727,1232.537,128.19,Distrito Federal,100,90.7,9.3,100,90.9,9.1,100,90.6,9.4
,,,,,,,,,,,,,,,,,,,
"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.",,,,,,,,,,"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.",,,,,,,,,
