"Tabela 1.3.25.1 - Pessoas de 10 anos ou mais de idade, por condição de estudante e posse de telefone móvel celular para uso pessoal, segundo as Grandes Regiões, as Unidades da Federação e as Regiões Metropolitanas - 2015",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,"Tabela 1.3.25.2 - Distribuição das pessoas de 10 anos ou mais de idade, por condição de estudantes e posse de telefone móvel celular para uso pessoal, segundo as Grandes Regiões, as Unidades da Federação e as Regiões Metropolitanas - 2015",Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
,,,,,,,,,,,,,,,,,,,
"Grandes Regiões, Unidades da Federação e Regiões Metropolitanas",Pessoas de 10 anos ou mais de idade (1000 pessoas),,,,,,,,,"Grandes Regiões, Unidades da Federação e Regiões Metropolitanas",Distribuição das pessoas de 10 anos ou mais de idade (%),,,,,,,,
,Total,Posse de telefone móvel celular para uso pessoal,,Estudantes,,,Não estudantes,,,,Total,Posse de telefone móvel celular para uso pessoal,,Estudantes,,,Não estudantes,,
,,,,Total,Posse de telefone móvel celular para uso pessoal,,Total,Posse de telefone móvel celular para uso pessoal,,,,,,Total,Posse de telefone móvel celular para uso pessoal,,Total,Posse de telefone móvel celular para uso pessoal,
,,Possuíam,Não possuíam,,Possuíam,Não possuíam,,Possuíam,Não possuíam,,,Possuíam,Não possuíam,,Possuíam,Não possuíam,,Possuíam,Não possuíam
Rio Grande do Norte,2975.62,2250.083,725.537,645.699,487.456,158.243,2329.921,1762.627,567.294,Rio Grande do Norte,100,75.6,24.4,100,75.5,24.5,100,75.7,24.3
Paraíba,3411.321,2605.215,806.106,755.044,562.41,192.634,2656.277,2042.805,613.472,Paraíba,100,76.4,23.6,100,74.5,25.5,100,76.9,23.1
Pernambuco,8100.013,5970.383,2129.63,1694.187,1180.812,513.375,6405.826,4789.571,1616.255,Pernambuco,100,73.7,26.3,100,69.7,30.3,100,74.8,25.2
Região Metropolitana de Recife,3454.326,2924.052,530.274,679.476,556.145,123.331,2774.85,2367.907,406.943,Região Metropolitana de Recife,100,84.6,15.4,100,81.8,18.2,100,85.3,14.7
Alagoas,2849.124,1915.987,933.137,653.127,396.407,256.72,2195.997,1519.58,676.417,Alagoas,100,67.2,32.8,100,60.7,39.3,100,69.2,30.8
Sergipe,1920.947,1466.729,454.218,431.494,302.081,129.413,1489.453,1164.648,324.805,Sergipe,100,76.4,23.6,100,70,30,100,78.2,21.8
Bahia,13085.093,9325.628,3759.465,2948.173,1933.075,1015.098,10136.92,7392.553,2744.367,Bahia,100,71.3,28.7,100,65.6,34.4,100,72.9,27.1
Região Metropolitana de Salvador,3477.228,3057.277,419.951,759.956,631.28,128.676,2717.272,2425.997,291.275,Região Metropolitana de Salvador,100,87.9,12.1,100,83.1,16.9,100,89.3,10.7
Sudeste,75598.609,62454.999,13143.61,14038.053,11331.26,2706.793,61560.556,51123.739,10436.817,Sudeste,100,82.6,17.4,100,80.7,19.3,100,83,17
Minas Gerais,18379.764,14674.31,3705.454,3567.477,2785.039,782.438,14812.287,11889.271,2923.016,Minas Gerais,100,79.8,20.2,100,78.1,21.9,100,80.3,19.7
