"Tabela 1.1.2.1 - Pessoas de 10 anos ou mais de idade que utilizaram a Internet, no período de referência dos últimos três meses, por Grandes Regiões, segundo o sexo e os grupos de idade - 2015",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,"Tabela 1.1.2.2 - Distribuição das pessoas de 10 anos ou mais de idade que utilizaram a Internet, no período de referência dos últimos três meses, por Grandes Regiões, segundo o sexo e os grupos de idade - 2015",Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,"Tabela 1.1.2.3 - Percentual de pessoas que utilizaram a Internet, no período de referência dos últimos três meses, na população de 10 anos ou mais de idade, por Grandes Regiões, segundo o sexo e os grupos de idade - 2015",Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
,,,,,,,,,,,,,,,,,,,,
Sexo e grupos de idade,"Pessoas de 10 anos ou mais de idade que utilizaram a Internet, no período de referência dos últimos três meses (1000 pessoas)",,,,,,Sexo e grupos de idade,"Distribuição das pessoas de 10 anos ou mais de idade que utilizaram a Internet, no período de referência dos últimos três meses (%)",,,,,,Sexo e grupos de idade,"Percentual de pessoas que utilizaram a Internet, no período de referência dos últimos três meses, na população de 10 anos ou mais de idade (%)",,,,,
,Brasil,Grandes Regiões,,,,,,Brasil,Grandes Regiões,,,,,,Brasil,Grandes Regiões,,,,
,,Norte,Nordeste,Sudeste,Sul,Centro-Oeste,,,Norte,Nordeste,Sudeste,Sul,Centro-Oeste,,,Norte,Nordeste,Sudeste,Sul,Centro-Oeste
55 a 59 anos,1804.767,81.055,243.138,1020.185,328.899,131.49,55 a 59 anos,3.7,2.5,2.4,4.3,4.3,3.2,55 a 59 anos,35.8,23,20.4,45,37.9,36.4
60 anos ou mais,2391.005,74.906,292.167,1439.848,412.959,171.125,60 anos ou mais,4.9,2.3,2.9,6.1,5.4,4.2,60 anos ou mais,18.5,8.5,8.8,24.9,19.9,19.5
Mulheres,53491.544,3515.684,11699.415,25731.915,8097.754,4446.776,Mulheres,100,100,100,100,100,100,Mulheres,58,48.5,46.4,65,61,64.9
10 a 14 anos,5496.886,396.923,1383.572,2445.224,801.557,469.61,10 a 14 anos,10.3,11.3,11.8,9.5,9.9,10.6,10 a 14 anos,70.8,48.3,57,83.2,81.1,80.3
15 a 17 anos,4396.618,368.76,1214.29,1879.443,593.772,340.353,15 a 17 anos,8.2,10.5,10.4,7.3,7.3,7.7,15 a 17 anos,84.3,70.2,76.6,90.9,90.2,90.2
18 ou 19 anos,2842.002,225.868,778.31,1239.854,390.925,207.045,18 ou 19 anos,5.3,6.4,6.7,4.8,4.8,4.7,18 ou 19 anos,84.7,71.9,76.8,91.7,88.9,88.5
20 a 24 anos,6287.605,482.581,1595.321,2760.806,921.655,527.242,20 a 24 anos,11.8,13.7,13.6,10.7,11.4,11.9,20 a 24 anos,82.3,68.2,72.5,89.9,87.5,87.5
25 a 29 anos,6072.724,456.155,1467.6,2743.911,864.633,540.425,25 a 29 anos,11.4,13,12.5,10.7,10.7,12.2,25 a 29 anos,78.4,63.3,66.3,87,83.9,85.8
30 a 34 anos,6279.943,419.377,1401.676,3010.256,914.391,534.243,30 a 34 anos,11.7,11.9,12,11.7,11.3,12,30 a 34 anos,74.9,58.9,61,84.2,80.8,80.2
35 a 39 anos,5572.021,372.869,1152.397,2707.668,833.91,505.177,35 a 39 anos,10.4,10.6,9.9,10.5,10.3,11.4,35 a 39 anos,68,53.7,51.2,77.5,76.5,75.8
40 a 44 anos,4702.493,279.182,884.587,2397.301,736.93,404.493,40 a 44 anos,8.8,7.9,7.6,9.3,9.1,9.1,40 a 44 anos,62.2,48.2,44.2,72.9,68.3,66.7
45 a 49 anos,3749.609,201.781,652.733,1927.256,642.5,325.339,45 a 49 anos,7,5.7,5.6,7.5,7.9,7.3,45 a 49 anos,52.7,41.1,35.4,61.9,58.4,57.5
50 a 54 anos,3205.041,148.66,486.387,1773.993,547.894,248.107,50 a 54 anos,6,4.2,4.2,6.9,6.8,5.6,50 a 54 anos,46.3,32.7,28.3,57,48.5,49.8
55 a 59 anos,2160.121,85.425,310.902,1211.867,389.244,162.683,55 a 59 anos,4,2.4,2.7,4.7,4.8,3.7,55 a 59 anos,36.8,25,22.1,44.4,40,39.6
60 anos ou mais,2726.481,78.103,371.64,1634.336,460.343,182.059,60 anos ou mais,5.1,2.2,3.2,6.4,5.7,4.1,60 anos ou mais,16.6,8.7,8.7,21.3,17.7,18
,,,,,,,,,,,,,,,,,,,,
"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.",,,,,,,"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.",,,,,,,"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.",,,,,,
