"Tabela 1.1.32.1 - Pessoas de 10 anos ou mais de idade, por condição de atividade na semana de referência e utilização da Internet, no período de referência dos últimos três meses, segundo as Grandes Regiões, as Unidades da Federação e as Regiões Metropolitanas - 2015",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,"Tabela 1.1.32.2 - Distribuição das pessoas de 10 anos ou mais de idade, por condição de atividade na semana de referência e utilização da Internet, no período de referência dos últimos três meses, segundo as Grandes Regiões, as Unidades da Federação e as Regiões Metropolitanas - 2015",Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
,,,,,,,,,,,,,,,,,,,
"Grandes Regiões, Unidades da Federação e Regiões Metropolitanas",Pessoas de 10 anos ou mais de idade (1000 pessoas),,,,,,,,,"Grandes Regiões, Unidades da Federação e Regiões Metropolitanas",Distribuição das pessoas de 10 anos ou mais de idade (%),,,,,,,,
,Total,"Utilização da Internet, no período de referência dos últimos três meses",,Condição de atividade na semana de referência,,,,,,,Total,"Utilização da Internet, no período de referência dos últimos três meses",,Condição de atividade na semana de referência,,,,,
,,,,Economicamente ativas,,,Não economicamente ativas,,,,,,,Economicamente ativas,,,Não economicamente ativas,,
,,,,Total,"Utilização da Internet, no período de referência dos últimos três meses",,Total,"Utilização da Internet, no período de referência dos últimos três meses",,,,,,Total,"Utilização da Internet, no período de referência dos últimos três meses",,Total,"Utilização da Internet, no período de referência dos últimos três meses",
,,Utilizaram,Não utilizaram,,Utilizaram,Não utilizaram,,Utilizaram,Não utilizaram,,,Utilizaram,Não utilizaram,,Utilizaram,Não utilizaram,,Utilizaram,Não utilizaram
Região Metropolitana de Belo Horizonte,4625.536,3175.428,1450.108,3016.55,2279.934,736.616,1608.986,895.494,713.492,Região Metropolitana de Belo Horizonte,100,68.6,31.4,100,75.6,24.4,100,55.7,44.3
Espírito Santo,3427.822,2004.128,1423.694,2062.31,1354.058,708.252,1365.512,650.07,715.442,Espírito Santo,100,58.5,41.5,100,65.7,34.3,100,47.6,52.4
Rio de Janeiro,14646.539,9707.466,4939.073,8407.734,6261.339,2146.395,6238.805,3446.127,2792.678,Rio de Janeiro,100,66.3,33.7,100,74.5,25.5,100,55.2,44.8
Região Metropolitana do Rio de Janeiro,10770.231,7529.582,3240.649,6245.604,4872.114,1373.49,4524.627,2657.468,1867.159,Região Metropolitana do Rio de Janeiro,100,69.9,30.1,100,78,22,100,58.7,41.3
São Paulo,39144.484,27203.297,11941.187,24049.724,18782.006,5267.718,15094.76,8421.291,6673.469,São Paulo,100,69.5,30.5,100,78.1,21.9,100,55.8,44.2
Região Metropolitana de São Paulo,18604.133,13592.382,5011.751,11538.621,9393.505,2145.116,7065.512,4198.877,2866.635,Região Metropolitana de São Paulo,100,73.1,26.9,100,81.4,18.6,100,59.4,40.6
Sul,25771.8,15758.972,10012.828,16100.149,10991.622,5108.527,9671.651,4767.35,4904.301,Sul,100,61.1,38.9,100,68.3,31.7,100,49.3,50.7
Paraná,9745.617,5897.03,3848.587,5993.314,4082.221,1911.093,3752.303,1814.809,1937.494,Paraná,100,60.5,39.5,100,68.1,31.9,100,48.4,51.6
Região Metropolitana de Curitiba,3030.41,2065.537,964.873,1846.073,1418.155,427.918,1184.337,647.382,536.955,Região Metropolitana de Curitiba,100,68.2,31.8,100,76.8,23.2,100,54.7,45.3
Santa Catarina,6048.506,3767.691,2280.815,3736.156,2625.479,1110.677,2312.35,1142.212,1170.138,Santa Catarina,100,62.3,37.7,100,70.3,29.7,100,49.4,50.6
Rio Grande do Sul,9977.677,6094.251,3883.426,6370.679,4283.922,2086.757,3606.998,1810.329,1796.669,Rio Grande do Sul,100,61.1,38.9,100,67.2,32.8,100,50.2,49.8
Região Metropolitana de Porto Alegre,3722.776,2610.59,1112.186,2316.191,1822.321,493.87,1406.585,788.269,618.316,Região Metropolitana de Porto Alegre,100,70.1,29.9,100,78.7,21.3,100,56,44
Centro-Oeste,13339.641,8530.74,4808.901,8282.949,5752.695,2530.254,5056.692,2778.045,2278.647,Centro-Oeste,100,64,36,100,69.5,30.5,100,54.9,45.1
Mato Grosso do Sul,2283.967,1455.931,828.036,1441.361,992.437,448.924,842.606,463.494,379.112,Mato Grosso do Sul,100,63.7,36.3,100,68.9,31.1,100,55,45
Mato Grosso,2766.131,1526.026,1240.105,1705.126,1025.519,679.607,1061.005,500.507,560.498,Mato Grosso,100,55.2,44.8,100,60.1,39.9,100,47.2,52.8
Goiás,5730.676,3541.957,2188.719,3557.342,2407.145,1150.197,2173.334,1134.812,1038.522,Goiás,100,61.8,38.2,100,67.7,32.3,100,52.2,47.8
Distrito Federal,2558.867,2006.826,552.041,1579.12,1327.594,251.526,979.747,679.232,300.515,Distrito Federal,100,78.4,21.6,100,84.1,15.9,100,69.3,30.7
,,,,,,,,,,,,,,,,,,,
"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.",,,,,,,,,,"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.",,,,,,,,,
