"Tabela 1.1.23.1 - Pessoas de 10 anos ou mais de idade, por sexo e utilização da Internet, no período de referência dos últimos três meses, segundo as Grandes Regiões, as Unidades da Federação e as Regiões Metropolitanas - 2015",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,"Tabela 1.1.23.2 - Distribuição das pessoas de 10 anos ou mais de idade, por sexo e utilização da Internet, no período de referência dos últimos três meses, segundo as Grandes Regiões, as Unidades da Federação e as Regiões Metropolitanas - 2015",Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
,,,,,,,,,,,,,,,,,,,
"Grandes Regiões, Unidades da Federação e Regiões Metropolitanas",Pessoas de 10 anos ou mais de idade (1000 pessoas),,,,,,,,,"Grandes Regiões, Unidades da Federação e Regiões Metropolitanas",Distribuição das pessoas de 10 anos ou mais de idade (%),,,,,,,,
,Total,"Utilização da Internet, no período de referência dos últimos três meses",,Homens,,,Mulheres,,,,Total,"Utilização da Internet, no período de referência dos últimos três meses",,Homens,,,Mulheres,,
,,,,Total,"Utilização da Internet, no período de referência dos últimos três meses",,Total,"Utilização da Internet, no período de referência dos últimos três meses",,,,,,Total,"Utilização da Internet, no período de referência dos últimos três meses",,Total,"Utilização da Internet, no período de referência dos últimos três meses",
,,Utilizaram,Não utilizaram,,Utilizaram,Não utilizaram,,Utilizaram,Não utilizaram,,,Utilizaram,Não utilizaram,,Utilizaram,Não utilizaram,,Utilizaram,Não utilizaram
Rio Grande do Norte,2975.62,1570.481,1405.139,1405.881,712.132,693.749,1569.739,858.349,711.39,Rio Grande do Norte,100,52.8,47.2,100,50.7,49.3,100,54.7,45.3
Paraíba,3411.321,1738.3,1673.021,1621.299,807.412,813.887,1790.022,930.888,859.134,Paraíba,100,51,49,100,49.8,50.2,100,52,48
Pernambuco,8100.013,3710.885,4389.128,3832.729,1746.371,2086.358,4267.284,1964.514,2302.77,Pernambuco,100,45.8,54.2,100,45.6,54.4,100,46,54
Região Metropolitana de Recife,3454.326,2080,1374.326,1565.632,980.9,584.732,1888.694,1099.1,789.594,Região Metropolitana de Recife,100,60.2,39.8,100,62.7,37.3,100,58.2,41.8
Alagoas,2849.124,1175.405,1673.719,1356.613,548.061,808.552,1492.511,627.344,865.167,Alagoas,100,41.3,58.7,100,40.4,59.6,100,42,58
Sergipe,1920.947,982.846,938.101,916.482,455.293,461.189,1004.465,527.553,476.912,Sergipe,100,51.2,48.8,100,49.7,50.3,100,52.5,47.5
Bahia,13085.093,6320.443,6764.65,6227.41,2912.189,3315.221,6857.683,3408.254,3449.429,Bahia,100,48.3,51.7,100,46.8,53.2,100,49.7,50.3
Região Metropolitana de Salvador,3477.228,2468.34,1008.888,1586.076,1145.631,440.445,1891.152,1322.709,568.443,Região Metropolitana de Salvador,100,71,29,100,72.2,27.8,100,69.9,30.1
Sudeste,75598.609,49246.983,26351.626,36038.002,23515.068,12522.934,39560.607,25731.915,13828.692,Sudeste,100,65.1,34.9,100,65.3,34.7,100,65,35
Minas Gerais,18379.764,10332.092,8047.672,8991.159,4967.294,4023.865,9388.605,5364.798,4023.807,Minas Gerais,100,56.2,43.8,100,55.2,44.8,100,57.1,42.9
